DATE,DSPIC96
2013-09-01,12431.5
2013-10-01,12395.1
2013-11-01,12426.2
2013-12-01,12452.7
2014-01-01,12513.3
2014-02-01,12579.5
2014-03-01,12648.6
2014-04-01,12699.0
2014-05-01,12745.0
2014-06-01,12797.2
2014-07-01,12835.1
2014-08-01,12896.3
2014-09-01,12938.8
2014-10-01,12995.3
2014-11-01,13062.8
2014-12-01,13150.5
2015-01-01,13224.7
2015-02-01,13271.8
2015-03-01,13233.7
2015-04-01,13262.8
2015-05-01,13284.7
2015-06-01,13292.7
2015-07-01,13324.1
2015-08-01,13354.9
2015-09-01,13392.0
2015-10-01,13419.8
2015-11-01,13417.7
2015-12-01,13482.0
2016-01-01,13531.6
2016-02-01,13546.1
2016-03-01,13547.2
2016-04-01,13522.0
2016-05-01,13515.1
2016-06-01,13521.5
2016-07-01,13567.1
2016-08-01,13578.9
2016-09-01,13608.3
2016-10-01,13627.7
2016-11-01,13657.8
2016-12-01,13685.3
2017-01-01,13742.1
2017-02-01,13792.3
2017-03-01,13851.3
2017-04-01,13869.6
2017-05-01,13962.6
2017-06-01,13963.5
2017-07-01,13999.9
2017-08-01,14015.8
2017-09-01,14030.9
2017-10-01,14062.7
2017-11-01,14078.4
2017-12-01,14111.5
2018-01-01,14211.4
2018-02-01,14250.1
2018-03-01,14298.3
2018-04-01,14329.5
2018-05-01,14373.2
2018-06-01,14416.2
2018-07-01,14467.0
2018-08-01,14509.6
2018-09-01,14498.8
2018-10-01,14527.7
2018-11-01,14550.4
2018-12-01,14719.3
2019-01-01,14714.3
2019-02-01,14742.1
2019-03-01,14732.5
2019-04-01,14678.0
2019-05-01,14673.5
2019-06-01,14686.4
2019-07-01,14703.7
2019-08-01,14777.8
2019-09-01,14807.9
2019-10-01,14821.4
2019-11-01,14885.9
2019-12-01,14844.1
2020-01-01,14976.5
2020-02-01,15068.8
2020-03-01,14844.0
2020-04-01,17170.7
2020-05-01,16333.0
2020-06-01,16057.3
2020-07-01,16151.9
2020-08-01,15553.9
2020-09-01,15643.4
2020-10-01,15568.4
2020-11-01,15366.5
2020-12-01,15393.8
2021-01-01,16988.6
2021-02-01,15548.2
2021-03-01,19119.5
2021-04-01,16146.9
2021-05-01,15669.5
2021-06-01,15603.3
2021-07-01,15735.2
2021-08-01,15720.0
2021-09-01,15466.3
2021-10-01,15472.4
2021-11-01,15470.8
2021-12-01,15442.7
2022-01-01,15163.5
2022-02-01,15173.6
2022-03-01,15119.6
