DATE,PCE
2015-02-01,12083.1
2015-03-01,12132.2
2015-04-01,12170.3
2015-05-01,12233.6
2015-06-01,12270.3
2015-07-01,12327.5
2015-08-01,12359.3
2015-09-01,12356.4
2015-10-01,12362.3
2015-11-01,12397.5
2015-12-01,12432.8
2016-01-01,12452.1
2016-02-01,12526.3
2016-03-01,12506.8
2016-04-01,12586.0
2016-05-01,12624.4
2016-06-01,12701.7
2016-07-01,12720.6
2016-08-01,12749.8
2016-09-01,12806.8
2016-10-01,12828.1
2016-11-01,12853.6
2016-12-01,12962.9
2017-01-01,13015.1
2017-02-01,13034.7
2017-03-01,13089.6
2017-04-01,13127.7
2017-05-01,13128.7
2017-06-01,13176.8
2017-07-01,13198.3
2017-08-01,13241.0
2017-09-01,13365.1
2017-10-01,13394.8
2017-11-01,13495.7
2017-12-01,13601.8
2018-01-01,13620.1
2018-02-01,13657.2
2018-03-01,13725.0
2018-04-01,13809.3
2018-05-01,13872.1
2018-06-01,13912.9
2018-07-01,13962.6
2018-08-01,14014.5
2018-09-01,14030.7
2018-10-01,14119.6
2018-11-01,14187.8
2018-12-01,14050.6
2019-01-01,14104.4
2019-02-01,14117.9
2019-03-01,14244.4
2019-04-01,14329.3
2019-05-01,14372.2
2019-06-01,14425.7
2019-07-01,14487.4
2019-08-01,14536.4
2019-09-01,14564.7
2019-10-01,14607.9
2019-11-01,14667.6
2019-12-01,14686.3
2020-01-01,14769.9
2020-02-01,14785.1
2020-03-01,13762.2
2020-04-01,12021.8
2020-05-01,13058.1
2020-06-01,13889.3
2020-07-01,14129.2
2020-08-01,14270.5
2020-09-01,14481.7
2020-10-01,14546.0
2020-11-01,14467.3
2020-12-01,14389.5
2021-01-01,14857.9
2021-02-01,14699.6
2021-03-01,15458.9
2021-04-01,15618.7
2021-05-01,15624.4
2021-06-01,15802.0
2021-07-01,15814.9
2021-08-01,15991.1
2021-09-01,16088.9
2021-10-01,16309.5
2021-11-01,16390.9
2021-12-01,16242.3
2022-01-01,16543.3
2022-02-01,16635.8
2022-03-01,16831.2
